"name","state","Month","Year","fips","DataHubPresence","SurroundingTheBay","monthBan","yearBan","monthTax","yearTax","PIC","TN","TOC","TON","Ban","Tax","Evap_tavg","Qs_tavg","Rainf_f_tavg","Tair_f_tavg"
"Anne Arundel County","MD",1,2010,24003,1,1,NA,NA,NA,NA,NA,1.161,NA,0.688923076923077,0,0,1.28930363037701e-05,3.30149790291519e-06,2.96198486466892e-05,272.955861409505
"Anne Arundel County","MD",1,2012,24003,1,1,NA,NA,NA,NA,0.03,1.047,3.042,0.6013,0,0,1.22892104220303e-05,3.66725204041055e-06,2.31267023688512e-05,276.26399230957
"Anne Arundel County","MD",1,2013,24003,1,1,NA,NA,NA,NA,0.03,0.8312,3.419625,0.61334,0,0,9.45738144508823e-06,1.72650159413479e-06,2.12353823674979e-05,275.235033671061
"Anne Arundel County","MD",1,2014,24003,1,1,NA,NA,NA,NA,0.03,0.9384,3.366,0.5563,0,0,1.22678619239499e-05,3.02649198147265e-06,3.03546823185267e-05,271.288589477539
"Anne Arundel County","MD",1,2015,24003,1,1,NA,NA,NA,NA,NA,0.889083333333333,3.47475,0.5228,0,0,1.37554509744101e-05,5.64101122790817e-06,4.06687998596074e-05,272.649635314941
"Anne Arundel County","MD",1,2016,24003,1,1,NA,NA,NA,NA,NA,0.980833333333333,4.28175,0.75814,0,0,1.41986333043557e-05,3.29684743860525e-06,3.39862469142342e-05,273.508089701335
"Anne Arundel County","MD",1,2017,24003,1,1,NA,NA,NA,NA,0.114,0.754833333333333,5.04566666666667,0.58131,0,0,1.03109819254617e-05,2.58679631789012e-06,2.9134291101703e-05,276.383308410645
"Anne Arundel County","MD",1,2018,24003,1,1,NA,NA,NA,NA,0.03,0.963,NA,0.63238,0,0,8.71209459774036e-06,9.81271519151505e-07,1.63641246520759e-05,273.109471638997
"Anne Arundel County","MD",1,2019,24003,1,1,NA,NA,NA,NA,NA,1.2357,NA,0.4415,0,0,1.3013225289645e-05,7.77043635480368e-06,3.71312083492133e-05,274.651898701986
"Anne Arundel County","MD",1,2020,24003,1,1,NA,NA,NA,NA,0.03,0.902142857142857,NA,0.618647058823529,0,0,1.02639597230336e-05,3.9324020993566e-06,2.70525176044127e-05,277.420862833659
"Anne Arundel County","MD",1,2021,24003,1,1,NA,NA,NA,NA,0.03,1.13571428571429,NA,0.5844375,0,0,1.14022685219576e-05,3.17037804128025e-06,1.97884399616062e-05,275.19332631429
